City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,bethel,41.3712,-73.414,21.94,76,20,1.54,US,Tue Aug  8 21:52:54 2023
62,karagay,58.2667,54.9368,18.47,78,0,2.46,RU,Tue Aug  8 21:56:39 2023
63,utrik,11.2278,169.8474,28.47,77,96,5.04,MH,Tue Aug  8 21:56:39 2023
64,shalkar,47.8288,59.6258,25.73,50,76,6.04,KZ,Tue Aug  8 21:56:40 2023
65,borogontsy,62.6683,131.1683,22.57,38,31,2.31,RU,Tue Aug  8 21:54:34 2023
66,ancud,-41.8697,-73.8203,10.27,97,100,5.63,CL,Tue Aug  8 21:56:40 2023
67,conde,-7.2597,-34.9075,22.7,94,20,2.06,BR,Tue Aug  8 21:56:41 2023
68,olyokminsk,60.3736,120.4264,26.43,39,100,3.32,RU,Tue Aug  8 21:56:41 2023
69,bamyan,34.75,67.25,11.53,46,0,2.16,AF,Tue Aug  8 21:56:41 2023
70,hamilton,39.1834,-84.5333,23.38,79,40,4.63,US,Tue Aug  8 21:56:42 2023
71,villa bruzual,9.3328,-69.1208,23.66,95,36,0.08,VE,Tue Aug  8 21:56:42 2023
72,namibe,-15.1961,12.1522,16.84,89,1,3.08,AO,Tue Aug  8 21:56:42 2023
73,markaz-e hukumat-e darweshan,31.1323,64.1934,29.27,18,0,4.96,AF,Tue Aug  8 21:56:43 2023
74,hilo,19.7297,-155.09,28.85,72,75,4.63,US,Tue Aug  8 21:53:22 2023
75,alcaniz,41.05,-0.1333,21.29,84,0,1.01,ES,Tue Aug  8 21:56:43 2023
76,sabi,13.2333,-14.2,24.97,90,84,2.9,GM,Tue Aug  8 21:56:44 2023
77,immendingen,47.9333,8.7333,15.3,74,99,1.47,DE,Tue Aug  8 21:56:44 2023
78,thompson,55.7435,-97.8558,12.09,87,40,3.09,CA,Tue Aug  8 21:56:44 2023
79,port elizabeth,-33.918,25.5701,14.16,94,75,0.51,ZA,Tue Aug  8 21:56:45 2023
80,port alfred,-33.5906,26.891,14.54,97,100,4.79,ZA,Tue Aug  8 21:54:39 2023
81,prestea,5.4327,-2.1428,23.3,90,100,2.86,GH,Tue Aug  8 21:56:45 2023
82,iwanai,42.9744,140.5089,27.83,90,99,1.41,JP,Tue Aug  8 21:56:46 2023
83,paphos,34.7667,32.4167,23.88,78,0,3.09,CY,Tue Aug  8 21:56:46 2023
84,beyneu,45.3167,55.2,28.74,41,0,4.1,KZ,Tue Aug  8 21:56:47 2023
85,huarmey,-10.0681,-78.1522,19.53,83,96,3.76,PE,Tue Aug  8 21:55:11 2023
86,sennoy,52.1509,46.9631,20.64,53,24,3.37,RU,Tue Aug  8 21:56:48 2023
87,howrah,22.5892,88.3103,29.0,89,75,2.06,IN,Tue Aug  8 21:54:03 2023
88,progreso,21.2833,-89.6667,29.5,84,2,6.06,MX,Tue Aug  8 21:56:48 2023
89,tenosique,17.4833,-91.4333,29.23,64,52,3.27,MX,Tue Aug  8 21:56:49 2023
90,aral,40.5156,81.2636,31.05,25,0,2.96,CN,Tue Aug  8 21:56:49 2023
91,tahe,52.3333,124.7333,15.54,95,100,0.72,CN,Tue Aug  8 21:56:49 2023
92,longyearbyen,78.2186,15.6401,6.91,87,0,1.54,SJ,Tue Aug  8 21:53:17 2023
93,zunyi,27.6867,106.9072,27.3,75,21,1.88,CN,Tue Aug  8 21:56:50 2023
